withinFormRange,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage,failureCategory,seedRetries
false,11,10,1.8182,10,10,0.0000,1,0,9,1,0.1000,35.5850,0.3333,67.2758,64.3716,16.2222,4.3333,0.0000,0,0,1,1,0.0000,1.5000,20,1.8182,0.0228,11,linear,medium,single,11,2,dispersed,high,3,low,990740285,1a50a71f-c91c-4dbe-bf3b-86d36b97dd90,true,,,none,0
false,12,11,1.8333,5,3,0.0000,1,0,10,1,0.0909,8.9683,0.3333,10.2190,7.4925,0.6667,2.0000,0.0000,0,0,1,1,0.0000,2.0000,43,3.5833,0.0510,12,branching,medium,single,12,2,dispersed,low,3,low,1659874055,b34cae24-a669-4751-a954-9ad8d2c8cacc,true,,,none,0
false,13,12,1.8462,6,3,0.0000,1,0,11,1,0.0833,6.7226,0.6667,5.9845,5.2436,0.1389,1.1667,4.0000,1,1,2,1,0.2308,2.4000,23,1.7692,0.0346,12,branching,small,single,13,5,front_loaded,high,3,low,1808202022,f37f42f1-5747-4b9b-bf4f-deaadb4b59e1,true,,,none,0
false,12,12,2.0000,6,6,0.0833,3,3,9,0,0.0000,43.1088,1.0000,6.1334,1.7676,0.2222,5.6667,4.0000,0,1,0,1,0.2500,2.0000,44,3.6667,0.0292,12,loop,large,multiple,12,2,clustered,low,2,medium,1175507038,085a9215-3647-4fba-82f4-86fda9386732,true,,,none,0
false,13,12,1.8462,2,1,0.0000,3,0,11,1,0.0833,9.6301,0.0000,19.2581,19.2581,0.0000,1.0000,0.0000,0,0,0,1,0.0000,0.0000,110,8.4615,0.0752,13,hub_and_spoke,large,multiple,13,1,dispersed,low,1,low,422949520,20f3ad17-2d39-4bd1-9b07-5f405b095e17,true,,,none,0
false,13,12,1.8462,12,12,0.0000,2,0,11,1,0.0833,28.1927,0.2381,50.6870,36.1012,11.3469,4.7143,3.5000,1,2,2,1,0.2308,2.5000,13,1.0000,0.0239,9,linear,small,multiple,13,6,dispersed,medium,1,low,404718589,68a71486-c11e-4826-99ed-a63d63fd306b,true,,,none,0
false,10,9,1.8000,9,9,0.0000,2,1,7,1,0.1111,17.1780,0.7333,15.4823,11.1794,1.1389,2.8333,4.0000,1,2,1,1,0.3000,2.4000,29,2.9000,0.0466,10,linear,medium,multiple,10,5,front_loaded,low,1,medium,1640493993,3ae547eb-4368-4424-9e7c-39a9f2eb89bc,true,,,none,0
false,6,5,1.6667,2,1,0.0000,1,0,4,1,0.2000,6.4532,1.0000,1.6051,1.6051,0.0000,1.0000,0.0000,0,0,0,1,0.0000,0.0000,16,2.6667,0.0593,6,hub_and_spoke,small,single,6,1,clustered,high,3,medium,1711974749,779d2067-a5dc-4327-a132-9de7fee49001,true,,,none,0
false,9,9,2.0000,4,4,0.1111,1,4,5,0,0.0000,19.5196,1.0000,2.0738,2.0738,0.0000,4.0000,0.0000,0,0,0,1,0.0000,0.0000,11,1.2222,0.0241,9,loop,small,single,9,1,clustered,medium,1,high,112325841,b97e0598-6411-486b-9e40-af8947a3e8c1,false,"EntityBounds: entity terrorist_01 at (8.03, 18.84) exceeds room room_06 interior bounds (centre=(6.83, 17.64), half-extents=(1.20, 1.20))",,EntityBounds,3
false,15,14,1.8667,5,3,0.0000,1,2,11,1,0.0714,11.3969,0.3000,18.5629,11.7121,0.8000,2.0000,4.0000,1,1,1,1,0.2000,1.7500,121,8.0667,0.1137,15,branching,medium,single,15,4,dispersed,low,3,high,1006617163,f9eee825-73d5-4c61-9815-23b58db281c9,true,,,none,0
